vicon,original,filtered,2d original,2d filtered,0.5 smooth filtered,"0.5,0.5","0.5,0.5,0.5,0.1,0.1"
-1.374023183,11.54176733,11.54176733,3.07057081,3.07057081,3.070570374,3.070570374,3.070570374
-1.434407081,11.50701508,11.52326591,3.136982065,3.105901996,3.105901996,3.107987662,3.112111731
-1.597923556,11.45170136,11.52253564,3.401906823,3.138561795,3.130396561,3.137065107,3.125630514
-1.836732069,11.64916691,11.58885557,3.21034866,3.144433576,3.14082278,3.152053175,3.134417176
-2.075375017,10.79787629,11.26696879,3.242051637,3.08725577,3.10208348,3.110116687,3.122133058
-2.223229775,10.60051491,10.92556018,2.514526384,2.401084825,2.59732461,2.573117051,2.915304367
-2.206405689,10.27906157,10.49317695,1.691466176,0.56136997,1.052513949,0.917907798,2.139068493
-1.989532025,10.46967316,10.47819047,2.272643002,0.656266519,0.50486052,0.253036892,1.264390277
-1.560076568,9.535751196,9.671097089,3.349650608,2.304323013,1.766619256,1.556075629,0.356449091
-0.865765874,11.94695817,11.11549545,3.488471428,2.479192932,2.577879931,2.60138576,0.535740772
0.218368576,11.92184035,11.5569102,3.443222249,2.86951499,2.730868809,3.020196403,0.993078312
1.891976061,11.69649419,11.72218254,2.910693538,2.254776903,2.626994049,2.656549397,0.703336644
4.417505734,16.14106915,15.37689707,10.75320357,9.905825408,7.294327067,7.78847921,6.516006847
8.046794228,16.68103838,17.09503517,11.69647219,12.31756841,10.8655263,12.07442868,10.14174899
12.9512994,19.42414211,19.49791703,12.15560502,12.97384911,12.53566781,13.95874402,12.267101
19.16992034,24.13651632,23.8266216,21.00981843,20.12863959,17.91034067,19.29229538,20.71224074
26.49094181,32.22780256,31.44625175,29.6108438,28.70908363,25.35222014,27.08994453,31.90206317
34.31069985,33.73577393,35.58260161,31.3674246,33.26460157,31.04017896,33.30212277,36.40302178
41.63865314,43.22802398,43.89852421,42.90381696,43.34262293,40.4418272,42.62647948,47.35931588
47.36698864,45.2290188,47.82074183,44.8045544,47.4334581,46.29772416,48.21009122,51.30912508
50.68106921,50.08334395,52.33073975,49.53426819,51.86537362,51.49014935,52.77481353,52.29580197
51.28850058,48.41092299,51.84573216,47.98889769,51.44272861,52.9802848,53.10654824,50.17791131
49.31659801,40.62859615,44.52922288,39.62336066,43.70081839,48.33131906,46.45494604,41.21279457
45.08710935,42.3345038,43.4051029,42.22343653,43.21530737,45.97444346,42.80560847,36.52134528
39.0376093,41.64441312,41.80584172,41.32647314,41.55848223,43.81111926,39.92268583,36.00514873
31.76328176,33.56292954,35.25000179,33.2908001,35.04183034,38.24992655,34.64226731,29.75700253
24.02168602,32.80425861,32.79439349,32.38397308,32.48824432,34.19646794,31.34244923,27.51670784
16.71648207,24.27260379,25.19202806,24.06722589,24.98673276,27.38474946,25.29177406,21.38375806
10.84452885,17.54076983,16.87500425,17.39479594,16.74060378,19.54723106,17.88006678,16.51479579
7.214256346,16.55038048,14.70017654,16.41308151,14.59795216,15.57553185,13.87423149,13.71935474
5.996671515,14.52615133,12.56600882,14.10167877,12.2813148,11.59597979,9.857327655,10.46016835
6.521756571,14.09059818,12.22632658,13.73739218,11.90526096,8.740432449,7.801808929,8.787826237
7.634545706,15.0268156,12.12603451,14.90432579,11.99506714,8.720033036,8.612105957,7.490324683
8.451409186,15.74063577,12.75911356,15.52086703,12.60983212,9.291935525,10.26104143,7.310350282
8.769548129,19.70460754,17.55892317,19.58674318,17.48344767,13.65522428,14.95087828,10.87996242
8.693968352,17.63902512,17.2640609,17.5771046,17.2782071,14.88470413,16.94699953,12.10647775
8.223222141,14.5088877,14.79839441,14.5348494,14.77059953,14.29552211,16.23649439,11.81144797
7.249457662,15.4836225,13.99173013,15.52107589,13.87514425,14.39474238,15.92922224,11.46808121
5.719537001,12.61555097,12.07013613,12.65970723,12.05293349,12.74519887,13.91815776,10.19193173
3.728863251,8.595697689,8.309145617,8.628859154,8.259699002,9.962121621,10.48098244,7.972617595
1.49386217,3.564706575,2.733018373,2.317493458,2.452976169,5.277613222,5.107163602,2.920807451
-0.729357892,3.689989678,2.293011078,2.078160915,1.378365712,2.83876975,2.097051404,0.812463689
-2.711047207,3.967387367,2.498413941,1.068049254,0.378301681,1.317821059,0.313154,-0.589881589
-4.287120967,4.949124308,3.284001321,1.887977399,-0.339643177,0.419798438,-0.834721376,-1.486430213
-5.367645681,4.883641353,3.883729786,0.949710211,-0.973582416,-0.392741996,-1.547421427,-2.116819072
-5.931863213,3.863476617,4.294762229,-1.285527523,-2.818947595,-1.526248862,-2.442293516,-2.801222269
-6.024339627,3.709503407,4.229555966,-2.142820656,-2.753807425,-2.812072912,-2.506493123,-3.757200147
-5.746431866,5.067107354,4.886593397,1.131211838,0.353393422,-1.396490018,-0.420821199,-2.44856353
-5.219421148,5.79796737,6.491838382,-1.424682995,-2.289057524,-2.700633478,-1.195014994,-3.093216334
-4.525573352,3.908158757,5.220095588,2.206040346,1.891796155,0.039817038,1.309169675,-1.633553428
-3.634243076,6.554791226,6.623432733,0.74435255,1.423827485,0.703999569,1.801485954,-2.058113802
-2.333050559,7.211324159,7.271057998,2.044329969,2.300479565,1.686678814,2.41360076,-0.501553091
-0.246171678,8.388248083,9.25450606,5.332689562,6.150372028,4.711562902,5.477604291,3.158086214
3.072766012,6.850057649,7.348499468,4.09744628,3.947536878,4.588211555,5.123221137,4.156439925
7.989423463,18.0829806,16.42387837,17.68081013,15.6943099,12.14205983,12.90711962,16.37283696
14.58222535,23.74888355,23.95530169,23.6758522,23.7442969,19.48346796,21.11064155,23.62440817
22.54951731,34.41969798,33.98423352,34.48704521,34.06390423,29.56437561,31.89816927,35.98587487
31.31034412,46.516962,46.71883143,46.61156501,46.80190953,41.93596909,45.00851924,49.52092716
40.1267956,52.08872642,53.63206,52.05149995,53.590975,50.95305508,54.34971913,58.71238533
48.05416221,49.56835833,53.12520494,49.55754702,53.08600415,54.17323701,57.06466209,56.75471353
53.99499284,51.89391652,54.20738776,51.8392138,54.22093647,56.16073219,57.50823439,59.26277133
57.06127337,47.08670589,50.36751831,46.98992449,50.2942217,54.50756053,54.05020294,54.85610109
56.83559595,45.68290033,48.42980219,45.22014749,48.05669316,52.55802584,49.75286398,47.4762645
53.36167798,42.35910724,44.44718748,42.31243503,44.51449013,48.91599205,44.28113376,41.30023992
47.04552866,45.48975382,44.89716904,45.3810604,44.86954441,47.18525315,42.8416514,40.62705278
38.60717748,51.97358693,51.00238005,51.73664638,50.83009495,49.80047844,46.5880267,47.79190791
29.03775305,36.9751911,39.75363072,36.7484493,39.54022933,43.22371931,41.50719914,40.02909225
19.56273105,26.5497447,28.77339918,26.36001314,28.56859548,33.93676532,32.18486104,30.14003935
11.65166661,19.65808035,19.28893296,19.28963042,18.91604255,24.63802647,21.93385691,22.32442677
6.621928982,22.34598718,19.58853859,22.34544403,19.55083289,20.16439184,17.41169942,18.26761033
4.873823248,19.20922332,17.13442539,19.20643668,17.13121043,17.59097575,14.98275587,15.45326907
5.551902696,26.57158164,22.98711957,26.45116957,22.94652083,21.405311,18.76723471,16.47368692
7.138215198,23.61921256,21.47532616,23.58276856,21.46104527,20.52153919,20.39393466,16.29144417
8.547944174,18.77199917,16.94905596,18.55263156,16.85051759,17.72825502,18.52012109,12.95125634
9.456232313,20.8880326,18.61996775,20.89396042,18.6209823,17.74196793,18.61299923,12.7052082
9.846342507,17.94753519,15.32639183,17.99095044,15.35379955,16.28738243,16.5076835,10.64211305
9.711081968,15.58518423,12.69860783,13.71941509,11.62303306,13.45831831,13.15979346,7.240512026
9.061695575,17.05602155,13.86766573,16.24988768,12.61449107,12.29998502,12.39632689,7.431294852
7.965833124,9.756088459,8.197241418,9.676960071,7.382877942,8.336238451,8.698094482,4.342319876
6.526916731,19.35515996,14.75458649,19.35447318,14.79863039,12.03790238,13.02229711,6.737550099
4.856646912,15.55093289,15.07807235,15.61197868,15.12947534,12.50712626,13.90069625,8.12788246
3.056004124,13.73880582,13.57895446,13.81364934,13.62993232,12.74286373,14.32109095,9.078367506
1.21382543,10.76464393,10.02683874,10.82931308,10.04740021,11.2226225,12.41010585,9.470947651
-0.55478437,8.34965843,7.024828175,8.2566453,7.052719064,9.118797509,9.480852231,8.54662135
-2.067468137,10.25715706,9.011060824,9.622546285,8.605987874,8.798147173,9.012290738,8.087592303
-3.101366934,10.97835007,10.71944151,9.866467338,9.822359276,8.821298177,8.87222923,10.3827045
-3.481994889,5.439361012,5.422190739,-1.526581152,0.38489786,2.760344105,2.471392484,2.44193841
-3.160457497,5.063330023,5.672703306,0.439524723,-0.997531526,-0.143389804,-1.403935331,-0.20612459
-2.207213208,6.471734538,5.98589235,3.871243871,1.696943764,0.154603649,-1.29382728,-0.797818988
-0.678756722,4.454952336,5.890937714,-1.5310482,-2.977946403,-3.068421291,-3.386530058,-3.697572856
1.546717154,5.224533921,5.110098371,1.926249982,1.039591382,-1.284421411,-0.898424157,-3.34460814
4.776568591,10.27434616,8.853277626,9.281378755,7.499412735,3.903693832,4.964076234,5.723211386
9.359239902,17.16310812,16.16405485,16.25385788,15.35026929,10.43141808,13.19080271,16.61150753
15.48195279,23.95205859,23.26257238,23.64564821,22.88298318,18.17186158,21.82339791,27.57243075
23.00532744,33.27931321,33.40158554,33.12938312,33.26981751,28.3606696,32.65001955,36.81044393
31.45190953,38.64050168,39.60972906,38.68513554,39.64498856,36.5900543,40.74526399,43.28071033
40.03555303,50.59308906,50.82352198,50.66279661,50.88305152,47.7488691,51.39360299,53.3401178
47.70896951,51.97923789,54.07721626,52.00966866,54.13644122,53.9412423,56.88067846,57.1904334
53.40352171,57.37148947,58.44224014,57.33124096,58.46454026,59.03226317,60.67078053,59.09098896
56.32569731,60.3964222,62.11936608,60.01367314,61.8520892,63.20586799,63.47190233,59.55525427
56.12543726,58.54494668,61.24039689,57.78996233,60.6943479,63.64102185,62.53729268,55.98128818
52.87178175,71.35546876,70.6757956,70.57269452,69.93666717,68.83646578,67.51179597,68.60860413
46.91052529,66.2702859,68.92897638,66.46058599,68.9128396,69.8508852,68.77259336,74.8769738
38.81859749,58.88730532,63.13917717,59.17271056,63.40996438,66.18086472,65.43342914,69.89220035
29.46084187,34.54470734,41.80394918,34.64331291,41.95758552,51.59097448,49.28391862,51.65984831
19.93753077,22.01331514,25.30474787,22.04036119,25.37313069,35.25202377,30.34337969,32.54458688
11.50619014,14.61252946,13.4349715,14.63854398,13.4547331,21.56472855,14.53756376,16.76938318
5.440313863,15.84410405,12.88711864,15.82128029,12.78064442,14.36421705,7.190388163,9.787303953
2.484543494,16.21979684,12.81663061,16.17790371,12.65871824,11.85403239,6.227164899,6.067461687
2.316064399,12.76834913,10.01913728,12.42857005,9.365649738,9.257163987,4.733779225,2.875365635
3.695630225,17.53390441,12.54835567,17.34182772,11.91889112,9.405033138,7.724571837,2.492394501
5.306963168,13.56283384,10.94799453,12.9415827,9.930433631,8.21562897,8.999005954,2.837319619
6.440732444,16.29245615,14.48311252,16.00128633,13.83953472,10.24813058,12.4356619,4.748196829
